 KIC SL Dsct/roAp RRL/Cep gDor
66 6140892 1.0 0.0 0.0 0.0
67 7957166 1.0 0.0 0.0 0.0
68 6370489 1.0 0.0 0.0 0.0
69 7680159 1.0 0.0 0.0 0.0
70 5515133 1.0 0.0 0.0 0.0
71 2441891 1.0 0.0 0.0 0.0
72 6288330 1.0 0.0 0.0 0.0
73 6508787 1.0 0.0 0.0 0.0
74 8106525 1.0 0.0 0.0 0.0
75 6676725 0.935 0.06 0.0 0.005
76 1722506 0.9916666666666667 0.0 0.0 0.008333333333333333
77 7548061 0.295 0.155 0.49333333333333335 0.056666666666666664
78 3831992 0.9983333333333333 0.0016666666666666668 0.0 0.0
79 6676236 1.0 0.0 0.0 0.0
80 3849027 1.0 0.0 0.0 0.0
81 3940630 1.0 0.0 0.0 0.0
82 11508587 0.0 0.0 0.0 1.0
83 11907454 0.06 0.005 0.0 0.935
84 3438363 1.0 0.0 0.0 0.0
85 7907191 1.0 0.0 0.0 0.0
86 1575886 1.0 0.0 0.0 0.0
87 3939069 1.0 0.0 0.0 0.0
88 11036440 0.008333333333333333 0.9916666666666667 0.0 0.0
89 7940546 1.0 0.0 0.0 0.0
90 6530236 1.0 0.0 0.0 0.0
91 8442169 1.0 0.0 0.0 0.0
92 2971484 0.9966666666666667 0.0033333333333333335 0.0 0.0
93 3954954 1.0 0.0 0.0 0.0
94 6510447 0.9983333333333333 0.0 0.0 0.0016666666666666668
95 4168016 1.0 0.0 0.0 0.0
96 11861260 0.0033333333333333335 0.0016666666666666668 0.0 0.995
97 6048671 1.0 0.0 0.0 0.0
98 7368013 1.0 0.0 0.0 0.0
99 11152649 0.0 0.9983333333333333 0.0 0.0016666666666666668
100 3966673 1.0 0.0 0.0 0.0
101 2448958 1.0 0.0 0.0 0.0
102 8232017 1.0 0.0 0.0 0.0
103 4075613 1.0 0.0 0.0 0.0
104 6369666 1.0 0.0 0.0 0.0
105 3967523 0.98 0.005 0.0 0.015
106 6615504 1.0 0.0 0.0 0.0
107 10853783 0.0016666666666666668 0.9983333333333333 0.0 0.0
108 6203755 0.9866666666666667 0.013333333333333334 0.0 0.0
109 9157408 1.0 0.0 0.0 0.0
110 12934846 0.0033333333333333335 0.016666666666666666 0.0 0.98
111 5693454 0.9966666666666667 0.0033333333333333335 0.0 0.0
112 2013627 1.0 0.0 0.0 0.0
113 3966749 0.9983333333333333 0.0016666666666666668 0.0 0.0
114 7107778 1.0 0.0 0.0 0.0
115 6306269 1.0 0.0 0.0 0.0
116 6128245 1.0 0.0 0.0 0.0
117 4553892 1.0 0.0 0.0 0.0
118 3964684 1.0 0.0 0.0 0.0
119 4067699 1.0 0.0 0.0 0.0
120 3946621 0.985 0.006666666666666667 0.0 0.008333333333333333
121 3728936 1.0 0.0 0.0 0.0
122 3102411 1.0 0.0 0.0 0.0
123 4245987 1.0 0.0 0.0 0.0
124 3934458 1.0 0.0 0.0 0.0
125 7007103 0.04666666666666667 0.01 0.0 0.9433333333333334
126 7303187 1.0 0.0 0.0 0.0
127 11415556 0.0 1.0 0.0 0.0
128 3234655 1.0 0.0 0.0 0.0
129 2421893 0.975 0.025 0.0 0.0
130 6145134 0.995 0.005 0.0 0.0
131 1292147 0.835 0.16333333333333333 0.0 0.0016666666666666668
132 1433803 0.995 0.005 0.0 0.0
133 7036151 1.0 0.0 0.0 0.0
134 3427720 1.0 0.0 0.0 0.0
135 1164102 1.0 0.0 0.0 0.0
136 4832196 1.0 0.0 0.0 0.0
137 8212786 1.0 0.0 0.0 0.0
138 11721304 0.03333333333333333 0.005 0.0 0.9616666666666667
139 6233748 1.0 0.0 0.0 0.0
140 11515690 0.9883333333333333 0.011666666666666667 0.0 0.0
141 6363090 1.0 0.0 0.0 0.0
142 3969150 1.0 0.0 0.0 0.0
143 4148235 1.0 0.0 0.0 0.0
144 8195153 1.0 0.0 0.0 0.0
145 4826423 0.9983333333333333 0.0016666666666666668 0.0 0.0
146 11717240 0.08 0.92 0.0 0.0
147 7748003 1.0 0.0 0.0 0.0
148 4743924 1.0 0.0 0.0 0.0
149 1163114 1.0 0.0 0.0 0.0
150 2558314 1.0 0.0 0.0 0.0
151 1027277 1.0 0.0 0.0 0.0
152 5353283 1.0 0.0 0.0 0.0
153 5469402 1.0 0.0 0.0 0.0
154 8960232 1.0 0.0 0.0 0.0
155 12643786 0.0016666666666666668 0.03833333333333333 0.0 0.96
156 8222691 1.0 0.0 0.0 0.0
157 6805631 1.0 0.0 0.0 0.0
158 6448067 1.0 0.0 0.0 0.0
159 5256967 1.0 0.0 0.0 0.0
160 5983299 1.0 0.0 0.0 0.0
161 5810513 1.0 0.0 0.0 0.0
162 3643774 1.0 0.0 0.0 0.0
163 11520310 0.01 0.0 0.0 0.99
164 5522071 1.0 0.0 0.0 0.0
165 6592652 1.0 0.0 0.0 0.0
166 5219637 1.0 0.0 0.0 0.0
167 4445966 1.0 0.0 0.0 0.0
168 4055669 1.0 0.0 0.0 0.0
169 2016946 1.0 0.0 0.0 0.0
170 5442366 1.0 0.0 0.0 0.0
171 7367289 1.0 0.0 0.0 0.0
172 7464220 0.9966666666666667 0.0033333333333333335 0.0 0.0
173 3120486 1.0 0.0 0.0 0.0
174 6142229 1.0 0.0 0.0 0.0
175 4056994 1.0 0.0 0.0 0.0
176 6465075 1.0 0.0 0.0 0.0
177 4074068 1.0 0.0 0.0 0.0
178 11183259 0.0016666666666666668 0.9983333333333333 0.0 0.0
179 2443037 1.0 0.0 0.0 0.0
180 5306751 1.0 0.0 0.0 0.0
