 KIC SL Puls
212 3951905 0.995 0.005
213 8748150 1.0 0.0
214 3241374 1.0 0.0
215 8277362 1.0 0.0
216 9074711 0.9916666666666667 0.008333333333333333
217 11668783 0.018333333333333333 0.9816666666666667
218 7217665 1.0 0.0
219 3938925 1.0 0.0
220 7270385 1.0 0.0
221 4037758 0.9816666666666667 0.018333333333333333
222 6610188 1.0 0.0
223 4171740 1.0 0.0
224 4948479 1.0 0.0
225 9080851 0.995 0.005
226 6142199 1.0 0.0
227 4914923 0.9816666666666667 0.018333333333333333
228 12017894 0.07833333333333334 0.9216666666666666
229 8822697 0.995 0.005
230 6688310 0.995 0.005
231 6695801 1.0 0.0
232 5357850 1.0 0.0
233 8538985 1.0 0.0
234 3631402 1.0 0.0
235 4041351 1.0 0.0
236 6705706 1.0 0.0
237 5354075 0.9983333333333333 0.0016666666666666668
238 4138576 1.0 0.0
239 9244643 0.9966666666666667 0.0033333333333333335
240 11572666 0.03833333333333333 0.9616666666666667
241 7821234 1.0 0.0
242 11923784 0.0 1.0
243 2449703 1.0 0.0
244 7191673 1.0 0.0
245 1996574 1.0 0.0
246 7698511 1.0 0.0
247 2014203 1.0 0.0
248 2018047 0.995 0.005
249 3951940 1.0 0.0
250 11571409 0.04833333333333333 0.9516666666666667
251 5269670 1.0 0.0
252 11125706 0.0 1.0
253 8005116 1.0 0.0
254 3643799 1.0 0.0
255 1720425 1.0 0.0
256 8946760 1.0 0.0
257 3847071 1.0 0.0
258 4065922 1.0 0.0
259 2423662 1.0 0.0
260 7504619 1.0 0.0
261 12105259 0.0 1.0
262 6593559 1.0 0.0
263 6212600 0.9983333333333333 0.0016666666666666668
264 7109064 1.0 0.0
265 4446181 1.0 0.0
266 12018834 0.01 0.99
267 2010137 1.0 0.0
268 7601618 1.0 0.0
269 6221004 0.9983333333333333 0.0016666666666666668
270 7049467 1.0 0.0
271 5457269 1.0 0.0
272 11196370 0.0 1.0
273 7584900 1.0 0.0
274 11717120 1.0 0.0
275 8694723 1.0 0.0
276 4828553 1.0 0.0
277 8230578 1.0 0.0
278 10923629 1.0 0.0
279 8081535 1.0 0.0
280 11137075 1.0 0.0
281 6620473 1.0 0.0
282 11920505 0.0016666666666666668 0.9983333333333333
283 5723165 1.0 0.0
284 5859441 1.0 0.0
285 6285677 0.9566666666666667 0.043333333333333335
286 7946636 1.0 0.0
287 9043086 1.0 0.0
288 2574699 1.0 0.0
289 11044384 0.0016666666666666668 0.9983333333333333
290 5534973 1.0 0.0
291 5427241 1.0 0.0
292 4270083 0.9983333333333333 0.0016666666666666668
293 5906289 1.0 0.0
294 6232914 1.0 0.0
295 8454132 1.0 0.0
296 2834053 1.0 0.0
297 12073334 0.0 1.0
298 7119181 1.0 0.0
299 4281518 1.0 0.0
300 9072526 1.0 0.0
301 4039966 0.9416666666666667 0.058333333333333334
302 5785268 1.0 0.0
303 8972665 1.0 0.0
304 4079165 1.0 0.0
305 8885424 1.0 0.0
306 4044261 1.0 0.0
307 6680734 1.0 0.0
308 9138133 1.0 0.0
309 5269729 1.0 0.0
310 7305252 1.0 0.0
311 4365609 1.0 0.0
312 11100522 0.0 1.0
313 3943223 1.0 0.0
314 3343931 1.0 0.0
315 5359478 1.0 0.0
316 4039576 0.9933333333333333 0.006666666666666667
317 6124244 0.9916666666666667 0.008333333333333333
318 2423824 1.0 0.0
319 11713510 0.9983333333333333 0.0016666666666666668
320 2424822 1.0 0.0
321 4996676 0.9983333333333333 0.0016666666666666668
322 8492265 1.0 0.0
323 1293046 0.785 0.215
324 12105278 0.005 0.995
325 7957671 0.9983333333333333 0.0016666666666666668
326 4074400 0.9816666666666667 0.018333333333333333
327 6306718 1.0 0.0
328 4249282 1.0 0.0
329 6707179 1.0 0.0
330 6676597 0.9983333333333333 0.0016666666666666668
331 3240119 1.0 0.0
332 5340862 1.0 0.0
333 6599881 1.0 0.0
334 10873176 1.0 0.0
335 5444972 0.91 0.09
336 7510397 0.9966666666666667 0.0033333333333333335
337 4042747 1.0 0.0
338 3838180 1.0 0.0
339 1434660 0.0 1.0
340 6208397 0.9983333333333333 0.0016666666666666668
341 6368620 1.0 0.0
342 8358665 1.0 0.0
343 4073584 1.0 0.0
344 7093179 1.0 0.0
345 2010738 0.9983333333333333 0.0016666666666666668
346 8264006 1.0 0.0
347 6435542 1.0 0.0
348 2435893 1.0 0.0
349 4057892 0.9916666666666667 0.008333333333333333
350 1570915 1.0 0.0
351 1996456 0.013333333333333334 0.9866666666666667
352 3099949 1.0 0.0
353 2157356 1.0 0.0
354 5442026 1.0 0.0
355 6371980 0.9983333333333333 0.0016666666666666668
356 6718509 0.995 0.005
357 3938291 1.0 0.0
358 7976006 1.0 0.0
359 10990452 0.0016666666666666668 0.9983333333333333
360 2995197 0.9983333333333333 0.0016666666666666668
361 4546625 1.0 0.0
362 5341666 0.89 0.11
363 11710462 0.0 1.0
364 5384777 0.9983333333333333 0.0016666666666666668
365 5780782 0.9983333333333333 0.0016666666666666668
366 12317678 1.0 0.0
